,name,artist,release_date,length,acousticness,danceability,instrumentalness,loudness,liveness,tempo,energy,speechiness,valence,time_signature,popularity
87,1+1,Beyoncé,2011,274.0,0.000691,0.3,0.47700000000000004,-7.0,0.07,63.0,0.38,0.03,0.26,4.0,60
88,Hold It Against Me,Britney Spears,2011,229.0,0.15755304715909085,0.65,0.169678918465909,-5.0,0.24,133.0,0.72,0.04,0.39,3.9829545454545454,59
89,I'm Into You,Jennifer Lopez,2011,200.0,0.15755304715909085,0.59,0.169678918465909,-4.0,0.08,84.0,0.75,0.14,0.7000000000000001,3.9829545454545454,59
90,Papi,Jennifer Lopez,2011,223.0,0.15755304715909085,0.71,0.169678918465909,-5.0,0.37,120.0,0.81,0.06,0.89,3.9829545454545454,58
91,Cheers (Drink To That),Rihanna,2011,262.0,0.0182,0.58,0.0,-4.0,0.29,80.0,0.91,0.04,0.73,4.0,58
92,S&M Remix,Rihanna,2011,257.0,0.15755304715909085,0.8200000000000001,0.169678918465909,-3.0,0.05,128.0,0.81,0.05,0.89,3.9829545454545454,54
93,Written in the Stars (feat. Eric Turner),Tinie Tempah,2011,220.0,0.00128,0.64,0.13,-4.0,0.18,91.0,0.95,0.07,0.5700000000000001,4.0,52
94,Jar of Hearts,Christina Perri,2011,247.0,0.15755304715909085,0.35000000000000003,0.169678918465909,-6.0,0.12,75.0,0.35000000000000003,0.03,0.09,3.9829545454545454,50
95,Castle Walls (feat. Christina Aguilera),T.I.,2011,329.0,0.15755304715909085,0.45,0.169678918465909,-5.0,0.26,80.0,0.86,0.39,0.58,3.9829545454545454,49
96,Turning Page,Sleeping At Last,2011,255.0,0.15755304715909085,0.3,0.169678918465909,-8.0,0.11,125.0,0.38,0.03,0.19,3.9829545454545454,46
97,Super Bass,Nicki Minaj,2011,201.0,0.15755304715909085,0.77,0.169678918465909,-7.0,0.4,127.0,0.74,0.23,0.59,3.9829545454545454,38
98,Raise Your Glass,P!nk,2011,208.0,0.15755304715909085,0.68,0.169678918465909,-7.0,0.12,122.0,0.64,0.12,0.56,3.9829545454545454,38
99,Invading My Mind,Jennifer Lopez,2011,201.0,0.15755304715909085,0.73,0.169678918465909,-4.0,0.32,129.0,0.88,0.07,0.6900000000000001,3.9829545454545454,31
100,Moment 4 Life - Album Version (Edited),Nicki Minaj,2011,279.0,0.15755304715909085,0.5,0.169678918465909,-4.0,0.22,130.0,0.88,0.38,0.37,3.9829545454545454,28
101,Last Friday Night (T.G.I.F.),Katy Perry,2011,231.0,0.00125,0.65,4.31e-05,-4.0,0.67,126.0,0.81,0.04,0.72,4.0,27
102,Firework,Katy Perry,2011,228.0,0.15755304715909085,0.64,0.169678918465909,-5.0,0.11,124.0,0.8300000000000001,0.05,0.65,3.9829545454545454,25
103,Muny - Album Version (Edited),Nicki Minaj,2011,227.0,0.15755304715909085,0.8,0.169678918465909,-5.0,0.19,98.0,0.72,0.33,0.53,3.9829545454545454,7
104,Titanium (feat. Sia),David Guetta,2012,245.0,0.0678,0.6,0.153,-4.0,0.13,126.0,0.79,0.1,0.3,4.0,80
105,Locked Out of Heaven,Bruno Mars,2012,233.0,0.0393,0.73,0.0,-4.0,0.31,144.0,0.7000000000000001,0.04,0.87,4.0,79
106,Paradise,Coldplay,2012,279.0,0.15755304715909085,0.45,0.169678918465909,-7.0,0.08,140.0,0.59,0.03,0.2,3.9829545454545454,79
107,Payphone,Maroon 5,2012,231.0,0.15755304715909085,0.74,0.169678918465909,-5.0,0.29,110.0,0.75,0.04,0.55,3.9829545454545454,79
108,What Makes You Beautiful,One Direction,2012,200.0,0.009000000000000001,0.73,0.0,-2.0,0.06,125.0,0.79,0.07,0.89,4.0,78
109,I Knew You Were Trouble.,Taylor Swift,2012,220.0,0.131,0.62,0.00345,-7.0,0.03,77.0,0.47,0.04,0.68,4.0,77
110,Call Me Maybe,Carly Rae Jepsen,2012,193.0,0.15755304715909085,0.78,0.169678918465909,-7.0,0.11,120.0,0.58,0.04,0.66,3.9829545454545454,76
111,Love You Like A Love Song,Selena Gomez & The Scene,2012,188.0,0.0499,0.86,0.0,-4.0,0.07,117.0,0.68,0.05,0.92,4.0,76
112,Set Fire to the Rain,Adele,2012,242.0,0.00165,0.61,0.0,-4.0,0.13,108.0,0.68,0.03,0.47,4.0,76
113,We Are Never Ever Getting Back Together,Taylor Swift,2012,193.0,0.15755304715909085,0.63,0.169678918465909,-6.0,0.12,86.0,0.68,0.09,0.75,3.9829545454545454,75
114,Stronger (What Doesn't Kill You),Kelly Clarkson,2012,222.0,0.0117,0.56,1.49e-05,-4.0,0.11,116.0,0.94,0.05,0.68,3.0,74
115,Try,P!nk,2012,248.0,0.15755304715909085,0.67,0.169678918465909,-7.0,0.09,104.0,0.63,0.03,0.55,3.9829545454545454,74
116,Starships,Nicki Minaj,2012,211.0,0.15755304715909085,0.75,0.169678918465909,-2.0,0.25,125.0,0.72,0.08,0.75,3.9829545454545454,73
117,One More Night,Maroon 5,2012,220.0,0.15755304715909085,0.72,0.169678918465909,-3.0,0.08,93.0,0.8200000000000001,0.03,0.62,3.9829545454545454,73
118,Good Time,Owl City,2012,206.0,0.15755304715909085,0.56,0.169678918465909,-4.0,0.37,126.0,0.87,0.14,0.68,3.9829545454545454,73
119,Glad You Came,The Wanted,2012,198.0,0.15755304715909085,0.72,0.169678918465909,-4.0,0.11,127.0,0.85,0.06,0.45,3.9829545454545454,72
120,Beauty And A Beat,Justin Bieber,2012,228.0,0.15755304715909085,0.6,0.169678918465909,-5.0,0.07,128.0,0.84,0.06,0.53,3.9829545454545454,72
121,International Love,Pitbull,2012,227.0,0.15755304715909085,0.67,0.169678918465909,-3.0,0.34,120.0,0.86,0.05,0.65,3.9829545454545454,72
122,Some Nights,fun.,2012,277.0,0.78,0.67,8.65e-05,-7.0,0.09,108.0,0.74,0.05,0.39,3.0,72
